,abbr,href,name
59,DANC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC.xml,Dance
60,DTX,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DTX.xml,Human-Centered Design and Design Thinking
61,EALC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC.xml,East Asian Language and Culture
62,ECE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE.xml,Electrical and Computer Engineering
63,ECON,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON.xml,Economics
64,EDPR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR.xml,Educational Practice
65,EDUC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC.xml,Education
66,EEB,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EEB.xml,"Evolution, Ecology, and Behavior"
67,EIL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EIL.xml,English as an International Language
68,ENG,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG.xml,Engineering
69,ENGL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL.xml,English
70,ENSU,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENSU.xml,Environmental Sustainability
71,ENT,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENT.xml,Entomology
72,ENVS,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS.xml,Environmental Studies
73,EPOL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL.xml,"Education Policy, Organization and Leadership"
74,EPSY,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY.xml,Educational Psychology
75,ERAM,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ERAM.xml,Education Research & Methods
76,ESE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE.xml,"Earth, Society, and Environment"
77,ESL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL.xml,English as a Second Language
78,ETMA,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA.xml,Engineering Technology and Management for Agricultural Systems
79,EURO,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EURO.xml,European Union Studies
80,FAA,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA.xml,Fine and Applied Arts
81,FIN,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN.xml,Finance
82,FLTE,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FLTE.xml,Foreign Language Teacher Education
83,FR,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR.xml,French
84,FSHN,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN.xml,Food Science and Human Nutrition
85,GC,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GC.xml,Graduate College
86,GEOL,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL.xml,Geology
87,GER,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER.xml,German
