,abbr,name,href
59,DANC,Dance,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DANC.xml
60,DTX,Human-Centered Design and Design Thinking,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/DTX.xml
61,EALC,East Asian Language and Culture,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EALC.xml
62,ECE,Electrical and Computer Engineering,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECE.xml
63,ECON,Economics,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ECON.xml
64,EDPR,Educational Practice,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDPR.xml
65,EDUC,Education,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EDUC.xml
66,EEB,"Evolution, Ecology, and Behavior",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EEB.xml
67,EIL,English as an International Language,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EIL.xml
68,ENG,Engineering,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENG.xml
69,ENGL,English,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENGL.xml
70,ENSU,Environmental Sustainability,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENSU.xml
71,ENT,Entomology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENT.xml
72,ENVS,Environmental Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ENVS.xml
73,EPOL,"Education Policy, Organization and Leadership",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL.xml
74,EPSY,Educational Psychology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPSY.xml
75,ERAM,Education Research & Methods,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ERAM.xml
76,ESE,"Earth, Society, and Environment",https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESE.xml
77,ESL,English as a Second Language,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ESL.xml
78,ETMA,Engineering Technology and Management for Agricultural Systems,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ETMA.xml
79,EURO,European Union Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EURO.xml
80,FAA,Fine and Applied Arts,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FAA.xml
81,FIN,Finance,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FIN.xml
82,FLTE,Foreign Language Teacher Education,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FLTE.xml
83,FR,French,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FR.xml
84,FSHN,Food Science and Human Nutrition,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/FSHN.xml
85,GC,Graduate College,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GC.xml
86,GEOL,Geology,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GEOL.xml
87,GER,German,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GER.xml
88,GGIS,Geography & Geographic Information Science,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GGIS.xml
89,GLBL,Global Studies,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GLBL.xml
90,GMC,Germanic,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GMC.xml
91,GRK,Greek,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/GRK.xml
