BuildingId,RoomNumber,Capacity,Type
LH,1000,113,Theater
LH,1002,92,Theater
LH,1020,16,Movable Tablet Armchairs
LH,1022,32,Movable Tablet Armchairs
LH,1024,28,Movable Tablet Armchairs
LH,1026,21,Movable Tablet Armchairs
LH,1027,37,Movable Tablet Armchairs
LH,1028,32,Movable Tablet Armchairs
LH,1051,25,Movable Tablet Armchairs
LH,1057,25,Movable Tablet Armchairs
LH,1060,32,Movable Tablet Armchairs
LH,1062,21,Movable Tablet Armchairs
LH,1064,29,Movable Tablet Armchairs
LH,1065,37,Movable Tablet Armchairs
LH,1066,32,Movable Tablet Armchairs
LH,1068,17,Movable Tablet Armchairs
LH,1090,92,Theater
LH,1092,113,Theater
LH,THEAT,615,Theater
LCLB,1018,13,Moveable Tables & Chairs
LCLB,1022,30,Movable Tablet Armchairs
LCLB,1024,15,Movable Tablet Armchairs
LCLB,1030,30,Movable Tablet Armchairs
LCLB,1032,15,Movable Tablet Armchairs
LCLB,1038,24,Movable Tablet Armchairs
LCLB,1040,15,Movable Tablet Armchairs
LCLB,1046,14,Movable Tablet Armchairs
LCLB,1048,15,Movable Tablet Armchairs
LCLB,1110,15,Movable Tablet Armchairs
LCLB,1112,14,Moveable Tables & Chairs
LCLB,1118,15,Movable Tablet Armchairs
LCLB,1120,24,Movable Tablet Armchairs
LCLB,1126,15,Movable Tablet Armchairs
LCLB,1128,24,Movable Tablet Armchairs
LCLB,1134,15,Movable Tablet Armchairs
LCLB,1136,30,Movable Tablet Armchairs
LCLB,1140,13,Moveable Tables & Chairs
LCLB,G18,24,Movable Tablet Armchairs
LCLB,G20,30,Movable Tablet Armchairs
LCLB,G24,31,Movable Tablet Armchairs
LCLB,G30,30,Movable Tablet Armchairs
LCLB,G32,30,Movable Tablet Armchairs
LCLB,G36,30,Movable Tablet Armchairs
LCLB,G46,30,Movable Tablet Armchairs
LCLB,G48,24,Movable Tablet Armchairs
LMS,136,54,Gather
LMS,137,29,Gather
LMS,139,29,Gather
LMS,141,284,Theater
LMS,143,29,Gather
LMS,144,92,Theater
LMS,147,30,Moveable Tables & Chairs
LMS,151,202,Theater
LMS,158,54,Gather
MSEB,100,260,Theater
MSEB,119,99,Theater
MSEB,305,48,Movable Tablet Armchairs
MSEB,4101,48,Movable Tablet Armchairs
MSB,274,140,Theater
MH,103,215,Theater
MH,313,48,Movable Tablet Armchairs
MH,320,34,Movable Tablet Armchairs
MH,316N,27,Movable Tablet Armchairs
MH,316S,22,Transitional
NSRC,149,245,Theater
NHB,2078,38,Gather
NHB,2079,312,Theater
NOYES,100,342,Theater
NOYES,157,68,Turn and Talk
NOYES,161,82,Theater
NOYES,162,33,Movable Tablet Armchairs
NOYES,163,47,Movable Tablet Armchairs
NOYES,164,32,Transitional
NOYES,165,66,Theater
NOYES,203,30,Gather
NOYES,204,30,Gather
NOYES,217,112,Theater
NOYES,300,30,Gather
NOYES,301,30,Gather
NOYES,303,25,Gather
NOYES,304,38,Gather
PSYCH,11,30,Group Share
PSYCH,17,48,Moveable Tables & Chairs
PSYCH,21,24,Movable Tablet Armchairs
PSYCH,23,155,Theater
PSYCH,29,30,Moveable Tables & Chairs
PSYCH,31,56,Moveable Tables & Chairs
PSYCH,32,80,Moveable Tables & Chairs
PSYCH,207,40,Group Share
RAL,116,187,Theater
LUMEB,1043,46,Gather
LUMEB,1047,41,Transitional
LUMEB,2055,48,Movable Tablet Armchairs
LUMEB,2100,144,Moveable Tables & Chairs
LUMEB,2200,48,Fixed Tables & Chairs
LUMEB,3101,72,Moveable Tables & Chairs
SIEBL,1302,48,Moveable Tables & Chairs
SIEBL,1304,46,Moveable Tables & Chairs
SIEBL,1404,200,Tiered
SHS,110,48,Moveable Tables & Chairs
THBH,134,212,Theater
TB,101,67,Theater
TB,103,101,Theater
TB,112,90,Theater
TB,114,88,Theater
TB,203,32,Movable Tablet Armchairs
TB,204,25,Movable Tablet Armchairs
TB,206,24,Seminar Table & Moveable Chairs
TH,W109,90,Fixed Tables & Moveable Chairs
TH,W115,40,Moveable Tables & Chairs
TH,W203,48,Moveable Tables & Chairs
WOHLR,130,46,Tiered
WOHLR,138,20,Fixed Tables & Chairs
WOHLR,141,306,Theater
WOHLR,152,50,Moveable Tables & Chairs
WOHLR,166,46,Tiered
WOHLR,170,21,Moveable Tablet Armchairs
WOHLR,174,18,Moveable Tablet Armchairs
WOHLR,226,46,Tiered
WOHLR,236,21,Moveable Tablet Armchairs
WOHLR,241,68,Tiered
WOHLR,243,68,Tiered
WOHLR,245,68,Tiered
