,crn,href,section_name
0,67166,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/232/67166.xml,AB1
1,67165,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/ARCH/232/67165.xml,AL1
