,crn,href,section_name
0,71821,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/418/71821.xml,A  
1,71822,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/INFO/418/71822.xml,AG 
