,crn,href,section_name
0,67969,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/595/67969.xml,
1,69698,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/EPOL/595/69698.xml,TM1
