,crn,href,section_name
0,77091,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BDI/577/77091.xml,IMB
1,77092,https://courses.illinois.edu/cisapp/explorer/schedule/2025/spring/BDI/577/77092.xml,ONL
